"ubsapp.translation = {","1"
"looks","4"
"< br > 1.5kg","2"
"rice","8"
"< br > 2.5kg","1"
"dal","5"
"< br >","10"
"atta","1"
"< br > < br >","3"
"rice/dal/atta","1"
"60/90/40 rupees respectively. < br >","1"
"customer","9"
"purchase soem new. < br >","1"
"< br > 1kg","4"
"₹60 < br >","2"
"dal- rs","1"
"litre oil < br >","1"
"chips packet < br >","1"
"ltr oil/1 chip packet cost","1"
"rs","61"
"sardarji","1"
"new. < br >","1"
"onion","1"
"₹19 < br >","1"
"potato- rs","1"
"tomato","1"
"cabbage","1"
"per","1"
"kg cost","1"
"rupees < br >","1"
"items. < br >","1"
"< br > < br > < br >","1"
"sell","7"
"surprise","1"
"luck","2"
"buy","17"
"start","3"
"decision making","1"
"close","5"
"score","1"
"document","1"
"inventory","9"
"new addition","2"
"week","1"
"last balance","1"
"insurance","1"
"inventory value","3"
"reputation pts","1"
"roll","1"
"player","6"
"enter","2"
"no","2"
"of players","1"
"choose number of players","1"
"next page","1"
"back","1"
"computer required","1"
"dice value","1"
"easy","2"
"medium","1"
"hard","1"
"monopoly","1"
"main board // board footer caption","1"
"week up","1"
"payment","6"
"decision","3"
"bank balance","3"
"bankbalance","1"
"debt","6"
"cash","10"
"endgame","1"
"end game","1"
"credit","8"
"credit limit","1"
"yay","4"
"your","13"
"balance increases","4"
"oops","12"
"license","2"
"please","8"
"valid amount","2"
"₹ <","5"
"currentamount","2"
"actualamount","2"
"insufficient","2"
"complete transaction","2"
"kindly buy","1"
"cancel","4"
"congratulations","10"
"percent","1"
"> %","1"
"amount","4"
"purchase alert","1"
"remaining","3"
"cheque","4"
"balance","8"
"insufficient bank","1"
"₹ 50/kg","2"
"₹ 110/kg","1"
"₹ 80/kg","1"
"₹ 45/litre","1"
"₹ 125/litre","1"
"₹ 40/chocolate","1"
"₹ 5.5/egg","1"
"₹ 25/packet","1"
"₹ 27/soap","1"
"₹ 45/100ml","1"
"₹ 37/500gm","1"
"₹ 15/kg","1"
"₹ 100/kg","1"
"₹ 70/500ml","1"
"₹ 25/broom","1"
"₹ 120/kg","2"
"₹ 15/packet","1"
"₹ 85/50gm","1"
"₹ 70/500gm","1"
"₹ 100/100gm","1"
"₹ 150/100gm","1"
"₹ 46/100gm","1"
"₹ 30/200gm","1"
"₹ 50/100gm","1"
"₹ 320/jar","1"
"₹ 12/70gm","1"
"₹ 60/200gm","1"
"scoreboard","1"
"pay debt","2"
"transfer cash to bank","2"
"you can","1"
"or to waive fine you can","1"
"transfer","3"
"pay off","1"
"pay","8"
"debt amount","1"
"withdraw","1"
"amount to pay","1"
"amount to transfer","1"
"mode of payment","1"
"help","1"
"gain","13"
"take quiz","1"
"use advantage card","1"
"current","3"
"level","1"
"confirm","1"
"new inventory level","1"
"cost","1"
"payment mode","1"
"add mode","1"
"or","1"
"super market receipt","1"
"receipt generation","1"
"order","1"
"items","3"
"submit","1"
"done","1"
"quantity","2"
"rate","2"
"tools","2"
"wheat","7"
"sugar","4"
"milk","4"
"rope","3"
"chocolate","4"
"eggs","3"
"biscuits","2"
"soap","3"
"shampoo","3"
"detergent","3"
"sales result","1"
"{ { reputationpoints } }","2"
"reputation points","55"
"{ { time } } seconds","1"
"consider","1"
"whole day 's sale.₹ { {","1"
"} }","2"
"cash balance","3"
"reputation","7"
"whole day 's sale","1"
"crediting","1"
"₹ { {","1"
"time 's","1"
"up","1"
"% discount","5"
"inventory-value","1"
"reputation-points","1"
"advisor","1"
"comprehensive shop insurance","1"
"natural disaste₹ < br > < br >","1"
"premium","2"
"sumassured","1"
"5,00,000 < br > < br >","1"
"yes","1"
"incomplete","1"
"shop documents","1"
"insurance agent","1"
"will","1"
"ceiling","1"
"repair costs","1"
"income","6"
"tax payment overdue","1"
"rs.20000","1"
"rs.3500","1"
"wrong","1"
"rs.100","3"
"return","1"
"accurate electronic machine","1"
"conventional machine","1"
"security camera cost","1"
"non","3"
"uncle","1"
"chips","1"
"speeding","1"
"servicing","1"
"voltage","1"
"spend rs","2"
"accept","1"
"sim","1"
"kyc","4"
"wholesaler","1"
"dal price","2"
"earn","3"
"gain reputation points","11"
"prescription medicine","1"
"secretly","1"
"regular customers","2"
"sandwiches unsold","1"
"lose","28"
"incur loss","1"
"charity shelter","2"
"sale value","1"
"loss","2"
"rs.1000","3"
"deliver","1"
"shop closes","1"
"purchase","2"
"swipe machine","1"
"incur","1"
"card transactions","1"
"lose reputation points","5"
"lose rs","5"
"regular","1"
"goods worth","1"
"hike","1"
"gain rs","1"
"usual price","1"
"gain reputation","4"
"neighbour","1"
"shop charges","1"
"re","1"
"cold water bottles","1"
"advise","1"
"unsold","1"
"lose reputation","1"
"received","1"
"fake note","1"
"unknown customer","1"
"try","1"
"bird","1"
"discard","1"
"keep","1"
"extra food items worth","1"
"extra profit","1"
"extra items","1"
"continue","2"
"sales.extra","1"
"extra money","2"
"fixed","3"
"% interest","1"
